TREND,CLUSTER_SIZE / FREQUENCY
justification_judgment_transparency_uncertainty_reasoning,3803
concern_harm_threat_gossip_threats,3109
confidence_legitimacy_validity_ambitions_rapport,2915
disclosure_disclosures,2470
coercion_boundaries_compliance_pressure_exchange,2279
intent_purpose_context_bond_intentions,2241
trust_empathy_loyalty_trustworthiness_honesty,1968
risks_risk_vulnerability_influence_vulnerabilities,1453
reliability_safety_suitability_caution_survival,983
discretion_confidentiality_consent_secrecy_divulge,921
